"","Name","Team","Height"
"378","Michael O'Donel Bjarne Alexander","Great Britain",188
"379","Buffy-Lynne Alexander-Williams","Canada",170
"380","Marc Robert Alexandre","France",170
"381","Marc Robert Alexandre","France",170
"382","Alexandre ""Alexandre Pato"" Rodrigues da Silva","Brazil",179
"383","Alexandre ""Alexandre Pato"" Rodrigues da Silva","Brazil",179
"384","Constantin Alexandru","Romania",157
"385","Ion Alexe","Romania",189
"386","Vladimir Petrovich Aleynik","Soviet Union",184
"387","Vladimir Petrovich Aleynik","Soviet Union",184
"388","Yevgeny Vasilyevich Aleynikov","Russia",181
"389","Abdoul Razak Issoufou Alfaga","Niger",207
"390","Lidiya Nikolayevna Alfeyeva","Soviet Union",170
"391","Alfonso Prez Muoz","Spain",178
"392","Stephen Todd ""Steve"" Alford","United States",185
"393","Hans Daniel Alfredsson","Sweden",182
"394","Hans Daniel Alfredsson","Sweden",182
"395","Zenny ""Algodo"" de Azevedo","Brazil",183
"396","Zenny ""Algodo"" de Azevedo","Brazil",183
"397","Ulf Hkan Gran Algotsson","Sweden",178
"398","Sara Anneli Algotsson Ostholt","Sweden",163
"399","Nasir Ali","Pakistan",176
"400","Nia Sifaatihii Ali","United States",170
"401","Syed Mushtaq Ali","India",165
"402","mile Ali Khan","France",180
"403","Rahim Aliabadi","Iran",158
"404","Sergey Gennadyevich Alifirenko","Russia",168
"405","Sergey Gennadyevich Alifirenko","Russia",168
"406","Mirko Alilovi","Croatia",200
"407","Aline Pellegrino","Brazil",180
"408","Aleksey Aleksandrovich Alipov","Russia",175
"409","Aleksey Aleksandrovich Alipov","Russia",175
"410","Alison Conte Cerutti","Brazil-1",203
"411","Alison Conte Cerutti","Brazil-1",203
"412","Deji Aliu","Nigeria",187
"413","Margarita Sergeyevna Aliychuk","Russia",174
"414","Kimia Alizadeh Zenoorin","Iran",185
"415","Yuliya Yakunovna Allagulova","Unified Team",176
"416","mile Allais","France",168
"417","Mohamed Allalou","Algeria",174
"418","Peter Frank Allam","Great Britain",193
"419","Olivier Allamand","France",175
"420","Alister Millar Allan","Great Britain",162
"421","Alister Millar Allan","Great Britain",162
"422","William Charles ""Bill"" Allen","United States",188
"423","John Chad Allen","United States",185
"424","Katherine Jessie Jean ""Kate"" Allen (-Diechtler)","Austria",163
"425","Kate Ruth ""Katie"" Allen","Australia",170
"426","Walter Ray Allen","United States",192
"427","Scott Ethan ""Scotty"" Allen","United States",163
"428","Wyatt Allen","United States",193
"429","Wyatt Allen","United States",193
"430","Sandra Louise ""Sandy"" Allen-Lewis","Australia",170
"431","Sandra Louise ""Sandy"" Allen-Lewis","Australia",170
"432","Sandra Louise ""Sandy"" Allen-Lewis","Australia",170
"433","Katherine Fiona ""Kate"" Allenby","Great Britain",177
